مصدر,بسامد,بن ماضی,بسامد,اسم مفعول,بسامد,گذشته ساده ۱ مفرد,بسامد,گذشته ساده ۲ مفرد,بسامد,گذشته ساده ۳ مفرد,بسامد,گذشته ساده ۱ جمع ,بسامد,گذشته ساده ۲ جمع ,بسامد,گذشته ساده ۳ جمع ,بسامد,ماضی استمراری ۱ مفرد,بسامد,ماضی استمراری ۲ مفرد,بسامد,ماضی استمراری ۳ مفرد,بسامد,ماضی استمراری ۱ جمع,بسامد,ماضی استمراری ۲ جمع,بسامد,ماضی استمراری ۳ جمع,بسامد,حال کامل ۱ مفرد ,بسامد,حال کامل ۲ مفرد ,بسامد,حال کامل ۳ مفرد ,بسامد,حال کامل ۱ جمع ,بسامد,حال کامل ۲ جمع ,بسامد,حال کامل ۳ جمع ,بسامد,گذشته استمراری التزامی ۱ مفرد,بسامد,گذشته استمراری التزامی ۲ مفرد,بسامد,گذشته استمراری التزامی ۳ مفرد,بسامد,گذشته استمراری التزامی ۱ جمع,بسامد,گذشته استمراری التزامی ۲ جمع,بسامد,گذشته استمراری التزامی ۳ جمع,بسامد,بن مضارع,بسامد,مضارع ساده ۱ مفرد,بسامد,مضارع ساده ۲ مفرد,بسامد,مضارع ساده ۳ مفرد,بسامد,مضارع ساده ۱ جمع,بسامد,مضارع ساده ۲ جمع,بسامد,مضارع ساده ۳ جمع,بسامد,مضارع اخباری ۱مفرد,بسامد,مضارع اخباری ۲مفرد,بسامد,مضارع اخباری ۳مفرد,بسامد,مضارع اخباری ۱ جمع,بسامد,مضارع اخباری ۲ جمع,بسامد,مضارع اخباری ۳ جمع,بسامد,مضارع التزامی ۱ مفرد,بسامد,مضارع التزامی ۲ مفرد,بسامد,مضارع التزامی ۳ مفرد,بسامد,مضارع التزامی ۱ جمع,بسامد,مضارع التزامی ۲ جمع,بسامد,مضارع التزامی ۳ جمع,بسامد,حال استمراری التزامی ۱ مفرد ,بسامد,حال استمراری التزامی ۲ مفرد ,بسامد,حال استمراری التزامی ۳ مفرد ,بسامد,حال استمراری التزامی ۱ جمع ,بسامد,حال استمراری التزامی ۲ جمع ,بسامد,حال استمراری التزامی ۳ جمع ,بسامد,ماضی نقلی ۱ مفرد,بسامد,ماضی نقلی ۲ مفرد,بسامد,ماضی نقلی ۳ مفرد,بسامد,ماضی نقلی ۱ جمع,بسامد,ماضی نقلی ۲ جمع,بسامد,ماضی نقلی 3 جمع‌اند,بسامد,ماضی بعید ۱ مفرد,بسامد,ماضی بعید ۲ مفرد,بسامد,ماضی بعید ۳ مفرد,بسامد,ماضی بعید ۱ جمع,بسامد,ماضی بعید ۲ جمع,بسامد,ماضی بعید ۳ جمع‌بودند,بسامد,ماضی نقلی استمراری ۱ مفرد,بسامد,ماضی نقلی استمراری ۲ مفرد,بسامد,ماضی نقلی استمراری ۳ مفرد,بسامد,ماضی نقلی استمراری ۱ جمع,بسامد,ماضی نقلی استمراری ۲ جمع,بسامد,ماضی نقلی استمراری ۳ جمع,بسامد,امری,بسامد,ماضی ساده مجمول ۱ مفرد,بسامد,ماضی ساده مجمول ۲ مفرد,بسامد,ماضی ساده مجمول ۳ مفرد,بسامد,ماضی ساده مجمول ۱ جمع,بسامد,ماضی ساده مجمول ۲ جمع,بسامد,ماضی ساده مجمول ۳ جمع,بسامد,ماضی استمراری مجمول ۱ مفرد,بسامد,ماضی استمراری مجمول ۲ مفرد,بسامد,ماضی استمراری مجمول ۳ مفرد,بسامد,ماضی استمراری مجمول ۱ جمع,بسامد,ماضی استمراری مجمول ۲ جمع,بسامد,ماضی استمراری مجمول ۳ جمع,بسامد
سریشدن,0,سریشد,1,سریشده,0,سریشدم,0,سریشدی,0,سریشد,1,سریشدیم,0,سریشدید,0,سریشدند,0,می‌سریشدم,0,می‌سریشدی,0,می‌سریشد,1,می‌سریشدیم,0,می‌سریشدید,0,می‌سریشدند,0,سریشده‌باشم,0,سریشده‌باشی,0,سریشده‌باش,0,سریشده‌باشیم,0,سریشده‌باشید,0,سریشده‌باشند,0,داشتم‌می‌سریشدم,0,داشتی‌می‌سریشدی,0,داشت‌می‌سریشد,0,داشتیم‌می‌سریشدیم,0,داشتید‌می‌سریشدید,0,داشتند‌می‌سریشدند,0,سریش,85,سریشم,36,سریشی,5,سریشد,1,سریشیم,0,سریشید,0,سریشند,0,می‌سریشم,0,می‌سریشی,0,می‌سریشد,1,می‌سریشیم,0,می‌سریشید,0,می‌سریشند,0,بسریشم,0,بسریشی,0,بسریشد,0,بسریشیم,0,بسریشید,0,بسریشند,0,دارم‌می‌سریشم,0,داری‌می‌سریشی,0,دارد‌می‌سریشد,0,داریم‌می‌سریشیم,0,دارید‌می‌سریشید,0,دارند‌می‌سریشند,0,سریشده‌ام,0,سریشده‌ای,0,سریشده‌است,0,سریشده‌ایم,0,سریشده‌اید,0,سریشده‌اند,0,سریشده‌بودم,0,سریشده‌بودی,0,سریشده‌بود,0,سریشده‌بودیم,0,سریشده‌بودید,0,سریشده‌بودند,0,‌می‌سریشده‌ام,0,‌می‌سریشده‌ای,0,‌می‌سریشده‌است,0,‌می‌سریشده‌ایم,0,‌می‌سریشده‌اید,0,‌می‌سریشده‌اند,0,بسریش,0,سریشده‌شدم,0,سریشده‌شدی,0,سریشده‌شد,0,سریشده‌شدیم,0,سریشده‌شدید,0,سریشده‌شدند,0,سریشده‌می‌شدم,0,سریشده‌می‌شدی,0,سریشده‌می‌شد,0,سریشده‌می‌شدیم,0,سریشده‌می‌شدید,0,سریشده‌می‌شدند,0,
سزاییدن,0,سزایید,0,سزاییده,0,سزاییدم,0,سزاییدی,0,سزایید,0,سزاییدیم,0,سزاییدید,0,سزاییدند,0,می‌سزاییدم,0,می‌سزاییدی,0,می‌سزایید,0,می‌سزاییدیم,0,می‌سزاییدید,0,می‌سزاییدند,0,سزاییده‌باشم,0,سزاییده‌باشی,0,سزاییده‌باش,0,سزاییده‌باشیم,0,سزاییده‌باشید,0,سزاییده‌باشند,0,داشتم‌می‌سزاییدم,0,داشتی‌می‌سزاییدی,0,داشت‌می‌سزایید,0,داشتیم‌می‌سزاییدیم,0,داشتید‌می‌سزاییدید,0,داشتند‌می‌سزاییدند,0,سزا,201,سزایم,4,سزایی,1433,سزاید,0,سزاییم,0,سزایید,0,سزایند,0,می‌سزایم,0,می‌سزایی,0,می‌سزاید,0,می‌سزاییم,0,می‌سزایید,0,می‌سزایند,0,بسزایم,1,بسزایی,7692,بسزاید,0,بسزاییم,0,بسزایید,0,بسزایند,0,دارم‌می‌سزایم,0,داری‌می‌سزایی,0,دارد‌می‌سزاید,0,داریم‌می‌سزاییم,0,دارید‌می‌سزایید,0,دارند‌می‌سزایند,0,سزاییده‌ام,0,سزاییده‌ای,0,سزاییده‌است,0,سزاییده‌ایم,0,سزاییده‌اید,0,سزاییده‌اند,0,سزاییده‌بودم,0,سزاییده‌بودی,0,سزاییده‌بود,0,سزاییده‌بودیم,0,سزاییده‌بودید,0,سزاییده‌بودند,0,‌می‌سزاییده‌ام,0,‌می‌سزاییده‌ای,0,‌می‌سزاییده‌است,0,‌می‌سزاییده‌ایم,0,‌می‌سزاییده‌اید,0,‌می‌سزاییده‌اند,0,بسزا,582,سزاییده‌شدم,0,سزاییده‌شدی,0,سزاییده‌شد,0,سزاییده‌شدیم,0,سزاییده‌شدید,0,سزاییده‌شدند,0,سزاییده‌می‌شدم,0,سزاییده‌می‌شدی,0,سزاییده‌می‌شد,0,سزاییده‌می‌شدیم,0,سزاییده‌می‌شدید,0,سزاییده‌می‌شدند,0,
سزیدن,0,سزید,1,سزیده,1,سزیدم,0,سزیدی,0,سزید,1,سزیدیم,0,سزیدید,0,سزیدند,0,می‌سزیدم,0,می‌سزیدی,0,می‌سزید,0,می‌سزیدیم,0,می‌سزیدید,0,می‌سزیدند,0,سزیده‌باشم,0,سزیده‌باشی,0,سزیده‌باش,0,سزیده‌باشیم,0,سزیده‌باشید,0,سزیده‌باشند,0,داشتم‌می‌سزیدم,0,داشتی‌می‌سزیدی,0,داشت‌می‌سزید,0,داشتیم‌می‌سزیدیم,0,داشتید‌می‌سزیدید,0,داشتند‌می‌سزیدند,0,سزا,201,سزایم,4,سزایی,1433,سزاید,0,سزاییم,0,سزایید,0,سزایند,0,می‌سزایم,0,می‌سزایی,0,می‌سزاید,0,می‌سزاییم,0,می‌سزایید,0,می‌سزایند,0,بسزایم,1,بسزایی,7692,بسزاید,0,بسزاییم,0,بسزایید,0,بسزایند,0,دارم‌می‌سزایم,0,داری‌می‌سزایی,0,دارد‌می‌سزاید,0,داریم‌می‌سزاییم,0,دارید‌می‌سزایید,0,دارند‌می‌سزایند,0,سزیده‌ام,0,سزیده‌ای,0,سزیده‌است,0,سزیده‌ایم,0,سزیده‌اید,0,سزیده‌اند,0,سزیده‌بودم,0,سزیده‌بودی,0,سزیده‌بود,0,سزیده‌بودیم,0,سزیده‌بودید,0,سزیده‌بودند,0,‌می‌سزیده‌ام,0,‌می‌سزیده‌ای,0,‌می‌سزیده‌است,0,‌می‌سزیده‌ایم,0,‌می‌سزیده‌اید,0,‌می‌سزیده‌اند,0,بسزا,582,سزیده‌شدم,0,سزیده‌شدی,0,سزیده‌شد,0,سزیده‌شدیم,0,سزیده‌شدید,0,سزیده‌شدند,0,سزیده‌می‌شدم,0,سزیده‌می‌شدی,0,سزیده‌می‌شد,0,سزیده‌می‌شدیم,0,سزیده‌می‌شدید,0,سزیده‌می‌شدند,0,
سفتن,13,سفت,3432,سفته,1758,سفتم,3,سفتی,414,سفت,3432,سفتیم,1,سفتید,0,سفتند,4,می‌سفتم,0,می‌سفتی,0,می‌سفت,0,می‌سفتیم,1,می‌سفتید,0,می‌سفتند,2,سفته‌باشم,0,سفته‌باشی,0,سفته‌باش,0,سفته‌باشیم,0,سفته‌باشید,0,سفته‌باشند,0,داشتم‌می‌سفتم,0,داشتی‌می‌سفتی,0,داشت‌می‌سفت,0,داشتیم‌می‌سفتیم,0,داشتید‌می‌سفتید,0,داشتند‌می‌سفتند,0,سنب,4,سنبم,0,سنبی,1,سنبد,0,سنبیم,0,سنبید,0,سنبند,0,می‌سنبم,0,می‌سنبی,0,می‌سنبد,0,می‌سنبیم,0,می‌سنبید,0,می‌سنبند,0,بسنبم,0,بسنبی,0,بسنبد,0,بسنبیم,0,بسنبید,0,بسنبند,0,دارم‌می‌سنبم,0,داری‌می‌سنبی,0,دارد‌می‌سنبد,0,داریم‌می‌سنبیم,0,دارید‌می‌سنبید,0,دارند‌می‌سنبند,0,سفته‌ام,0,سفته‌ای,0,سفته‌است,7,سفته‌ایم,0,سفته‌اید,0,سفته‌اند,0,سفته‌بودم,0,سفته‌بودی,0,سفته‌بود,1,سفته‌بودیم,0,سفته‌بودید,0,سفته‌بودند,1,‌می‌سفته‌ام,0,‌می‌سفته‌ای,0,‌می‌سفته‌است,0,‌می‌سفته‌ایم,0,‌می‌سفته‌اید,0,‌می‌سفته‌اند,0,بسنب,0,سفته‌شدم,0,سفته‌شدی,0,سفته‌شد,0,سفته‌شدیم,0,سفته‌شدید,0,سفته‌شدند,0,سفته‌می‌شدم,0,سفته‌می‌شدی,0,سفته‌می‌شد,0,سفته‌می‌شدیم,0,سفته‌می‌شدید,0,سفته‌می‌شدند,0,
سگالیدن,0,سگالید,2,سگالیده,0,سگالیدم,0,سگالیدی,0,سگالید,2,سگالیدیم,0,سگالیدید,0,سگالیدند,0,می‌سگالیدم,0,می‌سگالیدی,0,می‌سگالید,0,می‌سگالیدیم,0,می‌سگالیدید,0,می‌سگالیدند,0,سگالیده‌باشم,0,سگالیده‌باشی,0,سگالیده‌باش,0,سگالیده‌باشیم,0,سگالیده‌باشید,0,سگالیده‌باشند,0,داشتم‌می‌سگالیدم,0,داشتی‌می‌سگالیدی,0,داشت‌می‌سگالید,0,داشتیم‌می‌سگالیدیم,0,داشتید‌می‌سگالیدید,0,داشتند‌می‌سگالیدند,0,سگال,113,سگالم,0,سگالی,10,سگالد,1,سگالیم,0,سگالید,2,سگالند,0,می‌سگالم,0,می‌سگالی,0,می‌سگالد,1,می‌سگالیم,0,می‌سگالید,0,می‌سگالند,0,بسگالم,0,بسگالی,0,بسگالد,0,بسگالیم,0,بسگالید,0,بسگالند,0,دارم‌می‌سگالم,0,داری‌می‌سگالی,0,دارد‌می‌سگالد,0,داریم‌می‌سگالیم,0,دارید‌می‌سگالید,0,دارند‌می‌سگالند,0,سگالیده‌ام,0,سگالیده‌ای,0,سگالیده‌است,0,سگالیده‌ایم,0,سگالیده‌اید,0,سگالیده‌اند,0,سگالیده‌بودم,0,سگالیده‌بودی,0,سگالیده‌بود,0,سگالیده‌بودیم,0,سگالیده‌بودید,0,سگالیده‌بودند,0,‌می‌سگالیده‌ام,0,‌می‌سگالیده‌ای,0,‌می‌سگالیده‌است,0,‌می‌سگالیده‌ایم,0,‌می‌سگالیده‌اید,0,‌می‌سگالیده‌اند,0,بسگال,0,سگالیده‌شدم,0,سگالیده‌شدی,0,سگالیده‌شد,0,سگالیده‌شدیم,0,سگالیده‌شدید,0,سگالیده‌شدند,0,سگالیده‌می‌شدم,0,سگالیده‌می‌شدی,0,سگالیده‌می‌شد,0,سگالیده‌می‌شدیم,0,سگالیده‌می‌شدید,0,سگالیده‌می‌شدند,0,
سنجیدن,276,سنجید,1008,سنجیده,4066,سنجیدم,44,سنجیدی,2,سنجید,1008,سنجیدیم,25,سنجیدید,3,سنجیدند,73,می‌سنجیدم,3,می‌سنجیدی,0,می‌سنجید,27,می‌سنجیدیم,1,می‌سنجیدید,1,می‌سنجیدند,23,سنجیده‌باشم,0,سنجیده‌باشی,1,سنجیده‌باش,0,سنجیده‌باشیم,0,سنجیده‌باشید,1,سنجیده‌باشند,5,داشتم‌می‌سنجیدم,0,داشتی‌می‌سنجیدی,0,داشت‌می‌سنجید,0,داشتیم‌می‌سنجیدیم,0,داشتید‌می‌سنجیدید,0,داشتند‌می‌سنجیدند,0,سنج,1970,سنجم,23,سنجی,5458,سنجد,450,سنجیم,37,سنجید,1008,سنجند,147,می‌سنجم,20,می‌سنجی,2,می‌سنجد,153,می‌سنجیم,33,می‌سنجید,27,می‌سنجند,129,بسنجم,101,بسنجی,14,بسنجد,521,بسنجیم,682,بسنجید,204,بسنجند,424,دارم‌می‌سنجم,0,داری‌می‌سنجی,0,دارد‌می‌سنجد,0,داریم‌می‌سنجیم,0,دارید‌می‌سنجید,0,دارند‌می‌سنجند,0,سنجیده‌ام,0,سنجیده‌ای,2,سنجیده‌است,62,سنجیده‌ایم,0,سنجیده‌اید,0,سنجیده‌اند,0,سنجیده‌بودم,1,سنجیده‌بودی,0,سنجیده‌بود,42,سنجیده‌بودیم,0,سنجیده‌بودید,1,سنجیده‌بودند,1,‌می‌سنجیده‌ام,0,‌می‌سنجیده‌ای,0,‌می‌سنجیده‌است,0,‌می‌سنجیده‌ایم,0,‌می‌سنجیده‌اید,0,‌می‌سنجیده‌اند,0,بسنج,13,سنجیده‌شدم,0,سنجیده‌شدی,0,سنجیده‌شد,25,سنجیده‌شدیم,0,سنجیده‌شدید,0,سنجیده‌شدند,11,سنجیده‌می‌شدم,0,سنجیده‌می‌شدی,0,سنجیده‌می‌شد,0,سنجیده‌می‌شدیم,0,سنجیده‌می‌شدید,0,سنجیده‌می‌شدند,0,
سوختن,2344,سوخت,47547,سوخته,7929,سوختم,292,سوختی,2908,سوخت,47547,سوختیم,46,سوختید,5,سوختند,843,می‌سوختم,28,می‌سوختی,0,می‌سوخت,335,می‌سوختیم,5,می‌سوختید,0,می‌سوختند,54,سوخته‌باشم,0,سوخته‌باشی,0,سوخته‌باش,0,سوخته‌باشیم,0,سوخته‌باشید,0,سوخته‌باشند,7,داشتم‌می‌سوختم,0,داشتی‌می‌سوختی,0,داشت‌می‌سوخت,0,داشتیم‌می‌سوختیم,0,داشتید‌می‌سوختید,0,داشتند‌می‌سوختند,0,سوز,5342,سوزم,57,سوزی,13504,سوزد,783,سوزیم,21,سوزید,3,سوزند,185,می‌سوزم,35,می‌سوزی,6,می‌سوزد,678,می‌سوزیم,17,می‌سوزید,1,می‌سوزند,142,بیسوزم,0,بسوزی,38,بسوزد,699,بسوزیم,36,بسوزید,20,بسوزند,153,دارم‌می‌سوزم,0,داری‌می‌سوزی,0,دارد‌می‌سوزد,0,داریم‌می‌سوزیم,0,دارید‌می‌سوزید,0,دارند‌می‌سوزند,0,سوخته‌ام,1,سوخته‌ای,1,سوخته‌است,376,سوخته‌ایم,0,سوخته‌اید,0,سوخته‌اند,4,سوخته‌بودم,4,سوخته‌بودی,0,سوخته‌بود,376,سوخته‌بودیم,0,سوخته‌بودید,0,سوخته‌بودند,107,‌می‌سوخته‌ام,0,‌می‌سوخته‌ای,0,‌می‌سوخته‌است,0,‌می‌سوخته‌ایم,0,‌می‌سوخته‌اید,0,‌می‌سوخته‌اند,0,بسوز,58,سوخته‌شدم,2,سوخته‌شدی,0,سوخته‌شد,17,سوخته‌شدیم,0,سوخته‌شدید,0,سوخته‌شدند,0,سوخته‌می‌شدم,0,سوخته‌می‌شدی,0,سوخته‌می‌شد,0,سوخته‌می‌شدیم,0,سوخته‌می‌شدید,0,سوخته‌می‌شدند,0,
سودن,21,سود,87349,سوده,228,سودم,18,سودی,4662,سود,87349,سودیم,4,سودید,0,سودند,11,می‌سودم,0,می‌سودی,0,می‌سود,6,می‌سودیم,1,می‌سودید,0,می‌سودند,0,سوده‌باشم,0,سوده‌باشی,0,سوده‌باش,0,سوده‌باشیم,0,سوده‌باشید,0,سوده‌باشند,0,داشتم‌می‌سودم,0,داشتی‌می‌سودی,0,داشت‌می‌سود,0,داشتیم‌می‌سودیم,0,داشتید‌می‌سودید,0,داشتند‌می‌سودند,0,سا,1073,سایم,51,سایی,39,ساید,748,ساییم,3,سایید,77,سایند,46,می‌سایم,7,می‌سایی,0,می‌ساید,58,می‌ساییم,2,می‌سایید,30,می‌سایند,39,بیسایم,0,بسایی,8,بساید,43,بساییم,8,بسایید,26,بسایند,26,دارم‌می‌سایم,0,داری‌می‌سایی,0,دارد‌می‌ساید,0,داریم‌می‌ساییم,0,دارید‌می‌سایید,0,دارند‌می‌سایند,0,سوده‌ام,0,سوده‌ای,0,سوده‌است,1,سوده‌ایم,0,سوده‌اید,0,سوده‌اند,0,سوده‌بودم,0,سوده‌بودی,0,سوده‌بود,4,سوده‌بودیم,0,سوده‌بودید,0,سوده‌بودند,1,‌می‌سوده‌ام,0,‌می‌سوده‌ای,0,‌می‌سوده‌است,0,‌می‌سوده‌ایم,0,‌می‌سوده‌اید,0,‌می‌سوده‌اند,0,بسا,10532,سوده‌شدم,0,سوده‌شدی,0,سوده‌شد,1,سوده‌شدیم,0,سوده‌شدید,0,سوده‌شدند,0,سوده‌می‌شدم,0,سوده‌می‌شدی,0,سوده‌می‌شد,0,سوده‌می‌شدیم,0,سوده‌می‌شدید,0,سوده‌می‌شدند,0,
سوزاندن,2461,سوزاند,1059,سوزانده,1413,سوزاندم,77,سوزاندی,23,سوزاند,1059,سوزاندیم,38,سوزاندید,6,سوزاندند,405,می‌سوزاندم,6,می‌سوزاندی,0,می‌سوزاند,323,می‌سوزاندیم,4,می‌سوزاندید,1,می‌سوزاندند,47,سوزانده‌باشم,0,سوزانده‌باشی,1,سوزانده‌باش,0,سوزانده‌باشیم,0,سوزانده‌باشید,0,سوزانده‌باشند,4,داشتم‌می‌سوزاندم,0,داشتی‌می‌سوزاندی,0,داشت‌می‌سوزاند,0,داشتیم‌می‌سوزاندیم,0,داشتید‌می‌سوزاندید,0,داشتند‌می‌سوزاندند,0,سوزان,4099,سوزانم,16,سوزانی,162,سوزاند,1059,سوزانیم,29,سوزانید,64,سوزانند,130,می‌سوزانم,6,می‌سوزانی,6,می‌سوزاند,323,می‌سوزانیم,27,می‌سوزانید,14,می‌سوزانند,120,بسوزانم,55,بسوزانی,34,بسوزاند,434,بسوزانیم,89,بسوزانید,117,بسوزانند,245,دارم‌می‌سوزانم,0,داری‌می‌سوزانی,0,دارد‌می‌سوزاند,0,داریم‌می‌سوزانیم,0,دارید‌می‌سوزانید,0,دارند‌می‌سوزانند,0,سوزانده‌ام,0,سوزانده‌ای,0,سوزانده‌است,103,سوزانده‌ایم,0,سوزانده‌اید,0,سوزانده‌اند,1,سوزانده‌بودم,3,سوزانده‌بودی,0,سوزانده‌بود,83,سوزانده‌بودیم,0,سوزانده‌بودید,0,سوزانده‌بودند,28,‌می‌سوزانده‌ام,0,‌می‌سوزانده‌ای,0,‌می‌سوزانده‌است,0,‌می‌سوزانده‌ایم,0,‌می‌سوزانده‌اید,0,‌می‌سوزانده‌اند,0,بسوزان,47,سوزانده‌شدم,0,سوزانده‌شدی,0,سوزانده‌شد,138,سوزانده‌شدیم,0,سوزانده‌شدید,0,سوزانده‌شدند,43,سوزانده‌می‌شدم,0,سوزانده‌می‌شدی,0,سوزانده‌می‌شد,0,سوزانده‌می‌شدیم,0,سوزانده‌می‌شدید,0,سوزانده‌می‌شدند,0,
سوزانیدن,42,سوزانید,64,سوزانیده,28,سوزانیدم,3,سوزانیدی,0,سوزانید,64,سوزانیدیم,0,سوزانیدید,0,سوزانیدند,9,می‌سوزانیدم,0,می‌سوزانیدی,0,می‌سوزانید,14,می‌سوزانیدیم,0,می‌سوزانیدید,0,می‌سوزانیدند,1,سوزانیده‌باشم,0,سوزانیده‌باشی,0,سوزانیده‌باش,0,سوزانیده‌باشیم,0,سوزانیده‌باشید,0,سوزانیده‌باشند,0,داشتم‌می‌سوزانیدم,0,داشتی‌می‌سوزانیدی,0,داشت‌می‌سوزانید,0,داشتیم‌می‌سوزانیدیم,0,داشتید‌می‌سوزانیدید,0,داشتند‌می‌سوزانیدند,0,سوزان,4099,سوزانم,16,سوزانی,162,سوزاند,1059,سوزانیم,29,سوزانید,64,سوزانند,130,می‌سوزانم,6,می‌سوزانی,6,می‌سوزاند,323,می‌سوزانیم,27,می‌سوزانید,14,می‌سوزانند,120,بسوزانم,55,بسوزانی,34,بسوزاند,434,بسوزانیم,89,بسوزانید,117,بسوزانند,245,دارم‌می‌سوزانم,0,داری‌می‌سوزانی,0,دارد‌می‌سوزاند,0,داریم‌می‌سوزانیم,0,دارید‌می‌سوزانید,0,دارند‌می‌سوزانند,0,سوزانیده‌ام,0,سوزانیده‌ای,0,سوزانیده‌است,0,سوزانیده‌ایم,0,سوزانیده‌اید,0,سوزانیده‌اند,0,سوزانیده‌بودم,0,سوزانیده‌بودی,0,سوزانیده‌بود,1,سوزانیده‌بودیم,0,سوزانیده‌بودید,0,سوزانیده‌بودند,0,‌می‌سوزانیده‌ام,0,‌می‌سوزانیده‌ای,0,‌می‌سوزانیده‌است,0,‌می‌سوزانیده‌ایم,0,‌می‌سوزانیده‌اید,0,‌می‌سوزانیده‌اند,0,بسوزان,47,سوزانیده‌شدم,0,سوزانیده‌شدی,0,سوزانیده‌شد,1,سوزانیده‌شدیم,0,سوزانیده‌شدید,0,سوزانیده‌شدند,0,سوزانیده‌می‌شدم,0,سوزانیده‌می‌شدی,0,سوزانیده‌می‌شد,0,سوزانیده‌می‌شدیم,0,سوزانیده‌می‌شدید,0,سوزانیده‌می‌شدند,0,
شاشیدن,8,شاشید,8,شاشیده,6,شاشیدم,1,شاشیدی,0,شاشید,8,شاشیدیم,0,شاشیدید,0,شاشیدند,0,می‌شاشیدم,0,می‌شاشیدی,0,می‌شاشید,0,می‌شاشیدیم,0,می‌شاشیدید,0,می‌شاشیدند,0,شاشیده‌باشم,0,شاشیده‌باشی,0,شاشیده‌باش,0,شاشیده‌باشیم,0,شاشیده‌باشید,0,شاشیده‌باشند,0,داشتم‌می‌شاشیدم,0,داشتی‌می‌شاشیدی,0,داشت‌می‌شاشید,0,داشتیم‌می‌شاشیدیم,0,داشتید‌می‌شاشیدید,0,داشتند‌می‌شاشیدند,0,شاش,38,شاشم,1,شاشی,12,شاشد,0,شاشیم,0,شاشید,8,شاشند,0,می‌شاشم,0,می‌شاشی,0,می‌شاشد,0,می‌شاشیم,0,می‌شاشید,0,می‌شاشند,0,بشاشم,3,بشاشی,43,بشاشد,5,بشاشیم,0,بشاشید,0,بشاشند,4,دارم‌می‌شاشم,0,داری‌می‌شاشی,0,دارد‌می‌شاشد,0,داریم‌می‌شاشیم,0,دارید‌می‌شاشید,0,دارند‌می‌شاشند,0,شاشیده‌ام,0,شاشیده‌ای,0,شاشیده‌است,1,شاشیده‌ایم,0,شاشیده‌اید,0,شاشیده‌اند,0,شاشیده‌بودم,0,شاشیده‌بودی,0,شاشیده‌بود,1,شاشیده‌بودیم,0,شاشیده‌بودید,0,شاشیده‌بودند,1,‌می‌شاشیده‌ام,0,‌می‌شاشیده‌ای,0,‌می‌شاشیده‌است,0,‌می‌شاشیده‌ایم,0,‌می‌شاشیده‌اید,0,‌می‌شاشیده‌اند,0,بشاش,510,شاشیده‌شدم,0,شاشیده‌شدی,0,شاشیده‌شد,0,شاشیده‌شدیم,0,شاشیده‌شدید,0,شاشیده‌شدند,0,شاشیده‌می‌شدم,0,شاشیده‌می‌شدی,0,شاشیده‌می‌شد,0,شاشیده‌می‌شدیم,0,شاشیده‌می‌شدید,0,شاشیده‌می‌شدند,0,
شاندن,0,شاند,25,شانده,1,شاندم,0,شاندی,1,شاند,25,شاندیم,0,شاندید,0,شاندند,0,می‌شاندم,0,می‌شاندی,0,می‌شاند,0,می‌شاندیم,0,می‌شاندید,0,می‌شاندند,0,شانده‌باشم,0,شانده‌باشی,0,شانده‌باش,0,شانده‌باشیم,0,شانده‌باشید,0,شانده‌باشند,0,داشتم‌می‌شاندم,0,داشتی‌می‌شاندی,0,داشت‌می‌شاند,0,داشتیم‌می‌شاندیم,0,داشتید‌می‌شاندید,0,داشتند‌می‌شاندند,0,شان,4944,شانم,3,شانی,265,شاند,25,شانیم,21,شانید,1,شانند,16,می‌شانم,0,می‌شانی,0,می‌شاند,0,می‌شانیم,0,می‌شانید,0,می‌شانند,0,بشانم,0,بشانی,0,بشاند,1,بشانیم,0,بشانید,0,بشانند,0,دارم‌می‌شانم,0,داری‌می‌شانی,0,دارد‌می‌شاند,0,داریم‌می‌شانیم,0,دارید‌می‌شانید,0,دارند‌می‌شانند,0,شانده‌ام,0,شانده‌ای,0,شانده‌است,0,شانده‌ایم,0,شانده‌اید,0,شانده‌اند,0,شانده‌بودم,0,شانده‌بودی,0,شانده‌بود,0,شانده‌بودیم,0,شانده‌بودید,0,شانده‌بودند,0,‌می‌شانده‌ام,0,‌می‌شانده‌ای,0,‌می‌شانده‌است,0,‌می‌شانده‌ایم,0,‌می‌شانده‌اید,0,‌می‌شانده‌اند,0,بشان,162,شانده‌شدم,0,شانده‌شدی,0,شانده‌شد,0,شانده‌شدیم,0,شانده‌شدید,0,شانده‌شدند,0,شانده‌می‌شدم,0,شانده‌می‌شدی,0,شانده‌می‌شد,0,شانده‌می‌شدیم,0,شانده‌می‌شدید,0,شانده‌می‌شدند,0,
